,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter
481,Cora,1978,8,8,18,14,-43.2,hurricane,1,65,990,NA,NA
482,Cora,1978,8,9,0,14,-44.9,hurricane,1,80,980,NA,NA
483,Cora,1978,8,9,6,13.9,-46.8,hurricane,1,80,980,NA,NA
484,Cora,1978,8,9,12,13.6,-48.6,hurricane,1,70,988,NA,NA
485,Cora,1978,8,9,18,13.2,-50.6,hurricane,1,65,998,NA,NA
509,Ella,1978,8,31,18,29.3,-68.8,hurricane,1,70,980,NA,NA
510,Ella,1978,9,1,0,29.6,-70,hurricane,2,90,978,NA,NA
511,Ella,1978,9,1,6,30.1,-71.1,hurricane,3,100,975,NA,NA
512,Ella,1978,9,1,12,30.7,-71.8,hurricane,3,110,970,NA,NA
513,Ella,1978,9,1,18,31.1,-72.3,hurricane,3,110,960,NA,NA
514,Ella,1978,9,2,0,31.2,-72.7,hurricane,3,105,960,NA,NA
515,Ella,1978,9,2,6,31.4,-73.1,hurricane,3,100,977,NA,NA
516,Ella,1978,9,2,12,31.6,-73.3,hurricane,1,80,981,NA,NA
517,Ella,1978,9,2,18,31.9,-73,hurricane,1,70,983,NA,NA
518,Ella,1978,9,3,0,32.3,-72.8,hurricane,1,70,983,NA,NA
519,Ella,1978,9,3,6,33,-72.4,hurricane,1,80,981,NA,NA
520,Ella,1978,9,3,12,33.8,-71.7,hurricane,2,85,976,NA,NA
521,Ella,1978,9,3,18,35,-70.2,hurricane,2,95,970,NA,NA
522,Ella,1978,9,4,0,36.2,-68.3,hurricane,3,110,962,NA,NA
523,Ella,1978,9,4,6,38,-66,hurricane,4,115,958,NA,NA
524,Ella,1978,9,4,12,40,-63,hurricane,4,120,956,NA,NA
525,Ella,1978,9,4,18,42.5,-59.5,hurricane,4,115,956,NA,NA
526,Ella,1978,9,5,0,45,-55,hurricane,3,105,960,NA,NA
527,Ella,1978,9,5,6,47.2,-50.2,hurricane,1,80,975,NA,NA
528,Ella,1978,9,5,12,49,-45,hurricane,1,65,980,NA,NA
540,Flossie,1978,9,12,6,31.4,-44,hurricane,1,65,992,NA,NA
541,Flossie,1978,9,12,12,31.6,-43.5,hurricane,1,75,985,NA,NA
542,Flossie,1978,9,12,18,31.7,-43,hurricane,1,80,980,NA,NA
543,Flossie,1978,9,13,0,31.8,-42.9,hurricane,2,85,976,NA,NA
544,Flossie,1978,9,13,18,33.6,-43.1,hurricane,1,75,985,NA,NA
545,Flossie,1978,9,15,6,43.1,-35.9,hurricane,1,65,992,NA,NA
567,Greta,1978,9,16,12,14,-77.7,hurricane,1,70,989,NA,NA
568,Greta,1978,9,17,0,14.6,-79.6,hurricane,1,80,982,NA,NA
569,Greta,1978,9,17,12,15.2,-81.6,hurricane,2,90,974,NA,NA
570,Greta,1978,9,17,18,15.5,-82.6,hurricane,2,95,968,NA,NA
571,Greta,1978,9,18,0,15.6,-83.4,hurricane,3,110,952,NA,NA
572,Greta,1978,9,18,6,15.8,-84.3,hurricane,4,115,947,NA,NA
573,Greta,1978,9,18,12,16.4,-85.6,hurricane,3,105,957,NA,NA
574,Greta,1978,9,18,18,16.6,-86.9,hurricane,3,100,964,NA,NA
575,Greta,1978,9,19,0,17,-88.2,hurricane,2,95,964,NA,NA
601,Kendra,1978,10,29,18,26.2,-74.1,hurricane,1,65,995,NA,NA
602,Kendra,1978,10,30,12,28.9,-72.6,hurricane,1,70,990,NA,NA
603,Kendra,1978,10,30,18,29.3,-72.3,hurricane,1,65,998,NA,NA
634,Bob,1979,7,11,0,26.2,-91.6,hurricane,1,65,988,NA,NA
635,Bob,1979,7,11,6,27.8,-91.1,hurricane,1,65,991,NA,NA
636,Bob,1979,7,11,12,29.1,-90.6,hurricane,1,65,986,NA,NA
721,David,1979,8,27,6,11.8,-48.5,hurricane,1,65,980,NA,NA
722,David,1979,8,27,12,11.8,-50,hurricane,1,80,966,NA,NA
723,David,1979,8,27,18,11.9,-51.5,hurricane,2,95,954,NA,NA
724,David,1979,8,28,0,12.2,-52.9,hurricane,4,115,947,NA,NA
725,David,1979,8,28,6,12.5,-54.4,hurricane,4,125,941,NA,NA
726,David,1979,8,28,12,12.8,-55.7,hurricane,4,130,938,NA,NA
727,David,1979,8,28,18,13.2,-56.9,hurricane,4,125,941,NA,NA
728,David,1979,8,29,0,13.7,-58,hurricane,4,120,944,NA,NA
729,David,1979,8,29,6,14.2,-59.2,hurricane,4,120,942,NA,NA
730,David,1979,8,29,12,14.8,-60.3,hurricane,4,125,938,NA,NA
731,David,1979,8,29,18,15.3,-61.6,hurricane,4,125,933,NA,NA
732,David,1979,8,30,0,15.6,-62.8,hurricane,4,130,929,NA,NA
733,David,1979,8,30,6,16,-64.2,hurricane,5,140,925,NA,NA
734,David,1979,8,30,12,16.3,-65.2,hurricane,5,145,924,NA,NA
735,David,1979,8,30,18,16.6,-66.2,hurricane,5,150,924,NA,NA
736,David,1979,8,31,0,16.8,-67.3,hurricane,5,145,927,NA,NA
737,David,1979,8,31,6,17,-68.3,hurricane,5,145,928,NA,NA
738,David,1979,8,31,12,17.2,-69.1,hurricane,5,145,927,NA,NA
739,David,1979,8,31,18,17.9,-69.7,hurricane,5,150,926,NA,NA
740,David,1979,9,1,0,18.8,-70.4,hurricane,4,130,953,NA,NA
741,David,1979,9,1,6,19.3,-72,hurricane,3,100,978,NA,NA
742,David,1979,9,1,12,19.7,-73.7,hurricane,1,65,1002,NA,NA
744,David,1979,9,2,0,21.3,-75.2,hurricane,1,65,997,NA,NA
745,David,1979,9,2,6,21.9,-75.5,hurricane,1,70,990,NA,NA
746,David,1979,9,2,12,23,-76.3,hurricane,1,70,984,NA,NA
747,David,1979,9,2,18,23.9,-77.4,hurricane,1,75,979,NA,NA
748,David,1979,9,3,0,24.6,-78.2,hurricane,1,80,976,NA,NA
749,David,1979,9,3,6,25.3,-79.1,hurricane,1,80,974,NA,NA
750,David,1979,9,3,12,26.3,-79.6,hurricane,2,85,973,NA,NA
751,David,1979,9,3,18,27.2,-80.2,hurricane,2,85,972,NA,NA
752,David,1979,9,4,0,28,-80.5,hurricane,2,85,971,NA,NA
753,David,1979,9,4,6,29.1,-80.8,hurricane,2,85,970,NA,NA
754,David,1979,9,4,12,30.2,-80.9,hurricane,2,85,970,NA,NA
755,David,1979,9,4,18,31.5,-81.2,hurricane,1,80,970,NA,NA
756,David,1979,9,5,0,32.5,-81.1,hurricane,1,65,972,NA,NA
781,Frederic,1979,9,1,6,12.9,-48.7,hurricane,1,65,987,NA,NA
782,Frederic,1979,9,1,12,13.3,-50.4,hurricane,1,65,988,NA,NA
783,Frederic,1979,9,1,18,13.8,-52.3,hurricane,1,65,990,NA,NA
818,Frederic,1979,9,10,12,22.8,-83.6,hurricane,1,65,990,NA,NA
819,Frederic,1979,9,10,18,23,-83.8,hurricane,1,70,987,NA,NA
820,Frederic,1979,9,11,0,23.3,-84,hurricane,1,75,985,NA,NA
821,Frederic,1979,9,11,6,23.8,-84.4,hurricane,1,80,983,NA,NA
822,Frederic,1979,9,11,12,24.4,-84.8,hurricane,2,85,980,NA,NA
823,Frederic,1979,9,11,18,25,-85.2,hurricane,2,95,968,NA,NA
824,Frederic,1979,9,12,0,25.7,-85.8,hurricane,3,100,960,NA,NA
825,Frederic,1979,9,12,6,26.5,-86.4,hurricane,3,110,952,NA,NA
826,Frederic,1979,9,12,12,27.4,-87,hurricane,4,115,943,NA,NA
827,Frederic,1979,9,12,18,28.4,-87.7,hurricane,4,115,950,NA,NA
828,Frederic,1979,9,13,0,29.7,-88,hurricane,4,115,946,NA,NA
829,Frederic,1979,9,13,6,30.8,-88.5,hurricane,2,95,955,NA,NA
830,Frederic,1979,9,13,12,32.2,-88.7,hurricane,1,65,975,NA,NA
861,Gloria,1979,9,7,6,24.4,-37.2,hurricane,1,65,992,NA,NA
862,Gloria,1979,9,7,12,25.6,-38,hurricane,1,65,990,NA,NA
863,Gloria,1979,9,7,18,26.4,-38.7,hurricane,1,70,988,NA,NA
864,Gloria,1979,9,8,0,27,-39.2,hurricane,1,75,985,NA,NA
865,Gloria,1979,9,8,6,27.5,-40,hurricane,1,75,985,NA,NA
866,Gloria,1979,9,8,12,28,-40.3,hurricane,1,75,985,NA,NA
867,Gloria,1979,9,8,18,28.6,-41,hurricane,1,75,985,NA,NA
868,Gloria,1979,9,9,0,29.3,-41.7,hurricane,1,75,985,NA,NA
869,Gloria,1979,9,9,6,29.9,-42.5,hurricane,1,75,985,NA,NA
870,Gloria,1979,9,9,12,30.4,-43.2,hurricane,1,75,985,NA,NA
871,Gloria,1979,9,9,18,31,-44,hurricane,1,70,987,NA,NA
872,Gloria,1979,9,10,0,31.5,-45,hurricane,1,70,989,NA,NA
873,Gloria,1979,9,10,6,31.2,-45.8,hurricane,1,65,991,NA,NA
874,Gloria,1979,9,10,12,31,-46.8,hurricane,1,65,993,NA,NA
879,Gloria,1979,9,11,18,31.8,-48.4,hurricane,1,65,992,NA,NA
880,Gloria,1979,9,12,0,32.2,-48.6,hurricane,1,70,988,NA,NA
881,Gloria,1979,9,12,6,32.4,-48.6,hurricane,1,75,985,NA,NA
882,Gloria,1979,9,12,12,32.8,-48.3,hurricane,1,80,980,NA,NA
883,Gloria,1979,9,12,18,33.2,-47.8,hurricane,2,85,975,NA,NA
884,Gloria,1979,9,13,0,33.9,-47,hurricane,2,85,975,NA,NA
885,Gloria,1979,9,13,6,34.5,-46,hurricane,2,85,976,NA,NA
886,Gloria,1979,9,13,12,35,-45,hurricane,2,85,977,NA,NA
887,Gloria,1979,9,13,18,36,-43.8,hurricane,1,80,978,NA,NA
888,Gloria,1979,9,14,0,37,-41.5,hurricane,1,80,979,NA,NA
889,Gloria,1979,9,14,6,38.5,-39.5,hurricane,1,75,980,NA,NA
890,Gloria,1979,9,14,12,40.2,-37.8,hurricane,1,75,985,NA,NA
891,Gloria,1979,9,14,18,42,-35.8,hurricane,1,70,988,NA,NA
892,Gloria,1979,9,15,0,43.4,-34,hurricane,1,65,992,NA,NA
903,Henri,1979,9,17,6,20.2,-94,hurricane,1,65,990,NA,NA
904,Henri,1979,9,17,12,20.4,-94.3,hurricane,1,75,983,NA,NA
905,Henri,1979,9,17,18,20.8,-94.6,hurricane,1,70,984,NA,NA
906,Henri,1979,9,18,0,20.9,-95,hurricane,1,65,992,NA,NA
941,Allen,1980,8,3,0,12.4,-51.4,hurricane,1,65,985,NA,NA
942,Allen,1980,8,3,6,12.6,-53.6,hurricane,1,70,980,NA,NA
943,Allen,1980,8,3,12,12.8,-55.6,hurricane,1,80,975,NA,NA
944,Allen,1980,8,3,18,12.9,-57.5,hurricane,2,95,965,NA,NA
945,Allen,1980,8,4,0,13.3,-59.1,hurricane,3,110,950,NA,NA
946,Allen,1980,8,4,6,13.6,-61,hurricane,4,115,948,NA,NA
947,Allen,1980,8,4,12,14,-63,hurricane,4,125,945,NA,NA
948,Allen,1980,8,4,18,14.4,-64.9,hurricane,4,130,930,NA,NA
949,Allen,1980,8,5,0,14.8,-66.7,hurricane,5,140,911,NA,NA
950,Allen,1980,8,5,6,15.4,-68.6,hurricane,5,145,916,NA,NA
951,Allen,1980,8,5,12,15.9,-70.5,hurricane,5,155,932,NA,NA
952,Allen,1980,8,5,18,16.5,-72.3,hurricane,5,150,940,NA,NA
953,Allen,1980,8,6,0,17.8,-73.8,hurricane,5,140,945,NA,NA
954,Allen,1980,8,6,6,18.3,-75.9,hurricane,4,115,955,NA,NA
955,Allen,1980,8,6,12,19.2,-78,hurricane,4,115,955,NA,NA
956,Allen,1980,8,6,18,20,-80.1,hurricane,4,125,955,NA,NA
957,Allen,1980,8,7,0,20.1,-81.9,hurricane,4,135,945,NA,NA
958,Allen,1980,8,7,6,20.4,-83.6,hurricane,5,145,935,NA,NA
959,Allen,1980,8,7,12,21,-84.8,hurricane,5,155,910,NA,NA
960,Allen,1980,8,7,18,21.8,-86.4,hurricane,5,165,899,NA,NA
961,Allen,1980,8,8,0,22.2,-87.9,hurricane,5,155,920,NA,NA
962,Allen,1980,8,8,6,22.8,-89.2,hurricane,4,130,945,NA,NA
963,Allen,1980,8,8,12,23.4,-90.5,hurricane,4,115,960,NA,NA
964,Allen,1980,8,8,18,23.9,-91.8,hurricane,4,130,940,NA,NA
965,Allen,1980,8,9,0,24.5,-93,hurricane,5,145,912,NA,NA
966,Allen,1980,8,9,6,25,-94.2,hurricane,5,155,909,NA,NA
967,Allen,1980,8,9,12,25.2,-95.4,hurricane,5,140,916,NA,NA
968,Allen,1980,8,9,18,25.4,-96.1,hurricane,4,125,925,NA,NA
969,Allen,1980,8,10,0,25.8,-96.8,hurricane,3,110,935,NA,NA
970,Allen,1980,8,10,6,26.1,-97.2,hurricane,3,100,945,NA,NA
971,Allen,1980,8,10,12,26.7,-98.1,hurricane,2,85,960,NA,NA
972,Allen,1980,8,10,18,27.3,-99,hurricane,1,70,970,NA,NA
985,Bonnie,1980,8,16,0,22,-38.7,hurricane,1,75,985,NA,NA
986,Bonnie,1980,8,16,6,23.7,-38.9,hurricane,2,85,975,NA,NA
987,Bonnie,1980,8,16,12,24.8,-39.1,hurricane,2,85,975,NA,NA
988,Bonnie,1980,8,16,18,25.8,-39.4,hurricane,2,85,975,NA,NA
989,Bonnie,1980,8,17,0,27,-39.7,hurricane,1,75,985,NA,NA
990,Bonnie,1980,8,17,6,28,-40,hurricane,1,65,990,NA,NA
991,Bonnie,1980,8,17,12,29,-40.3,hurricane,1,65,990,NA,NA
992,Bonnie,1980,8,17,18,30,-40.5,hurricane,1,65,990,NA,NA
993,Bonnie,1980,8,18,0,31.1,-40.5,hurricane,1,65,990,NA,NA
994,Bonnie,1980,8,18,6,32.4,-40.5,hurricane,1,65,990,NA,NA
995,Bonnie,1980,8,18,12,34,-40.5,hurricane,1,65,990,NA,NA
996,Bonnie,1980,8,18,18,35.9,-40.5,hurricane,1,65,990,NA,NA
997,Bonnie,1980,8,19,0,38.2,-40.2,hurricane,1,65,990,NA,NA
998,Bonnie,1980,8,19,6,41.9,-39.8,hurricane,1,65,990,NA,NA
999,Bonnie,1980,8,19,12,46.5,-38.4,hurricane,1,65,995,NA,NA
1011,Charley,1980,8,23,0,39.6,-65.9,hurricane,1,65,992,NA,NA
1012,Charley,1980,8,23,6,38.9,-66.7,hurricane,1,70,990,NA,NA
1013,Charley,1980,8,23,12,38.2,-66,hurricane,1,70,989,NA,NA
1014,Charley,1980,8,23,18,38,-64.7,hurricane,1,70,990,NA,NA
1015,Charley,1980,8,24,0,38,-63.1,hurricane,1,65,991,NA,NA
